11-diethoxyethane|1دی اتوکسی اتان
a studio-an apartment-flat-an attic|یک آپارتمان
a subject for rejoicing|مایه خوشی
a succeeds b|a بعد از b است
a succession of calamities|یک رشته مصائب، یک رشته مصایب
a suit of clothes|یک دست لباس
a suite of rooms|یک دست اتاق، یک دست اطاق
a superficial observer|شخص ظاهربین
a superi or cour|دادگاه عالی
a supplementary angle|گوشه مکمل
a suppository for the vulva|فرزجه
a sure find|کسی که اورابتوان حتماپیداکرد
a surrey|بازدیدیانقشه برداری هوایی
a survery party|هییت نقشه برداری
a sustaining|رزاق
a sweep of the arm|تاب دادن دست
a sweet tooth|دندان شیرینی خوری یعنی میل زیادبخوردن شیرینی
a swift wit|ذکاوت
a systems framework|چارچوب سیستمی
a tale never loses in the telling|منبع
a task|در سر کاری زحمت کشیدن
a taste of your own medicine|اجرای کاربد تو درمورد خودت تا درسی برایت باشد
a tax approach|رویکرد
a tax gatheren|باج گیر
a teetotal meeting|انجمن طرفداران پرهیزکامل از خوردن نوشابه
a tempo|دستور نواختن موسیقی به وزن پیشین برگردید
a ten knotter|کشتی که ساعتی 11میل دریایی میرود، کشتی که ساعتی 10 میل دریایی میرود
a ten peg|گل میخ چادر
a textual error|اشتباه در متن
a the better|چه بهتر
a the world|دوردنیا
a thin house|تماشاخانه خلوت یاکم جمعیت
a thing in posse|امر ممکن الوقوع یا محتمل الوجود
a thorough change|یک تغییرکامل
a thought occurred to me|چیزی بنظرم رسید
a thousand apologies|یک دنیاپوزش یامعذرت
a three-hour walk|یک گردش سه ساعته
a three-story building|یک ساختمان سه طبقه
a through train|قطاری که مستقیما ازمبداتامقصدمیرودبی انکه احتیاج به تغییرخط پیداکند، قطاری که مستقیما ازمبداتامقصدمیرودبی آن که احتیاج به تغییرخط پیداکند، قطاری که مستقیما از مبدا تا مقصد میرود بی آنکه احتیاج به تغییر خط پیدا کند
a tier of seats|یک ردیف صندلی
a tight or hard knot|گره کور
a tight place|تنگی
a time a well a army|ارتشی که کاملامجهزباشد
a tissue of lies|یک رشته دروغ
a to|پیش از
a to each other|مانندیکدیگر
a to his promise|بنابقولی که داده بود
a to labor|اموخته بکار، اموخته به کار
a to law|تابع قانون
a to or against persons|تنفر نسبت به اشخاص
a to others|مواظب حال دیگران
a to reason|مطابق خرد
a to submission|مخالف تسلیم
a to the act of|اصلاح قانون
a to the shore|نزدیکی به ساحل
a to the taste|خوش مزه
a to-do|شلوق
a tongled affair|کارغامض
a toss-up|وقتی در مورد نتیجه کار مطمین نباشیم
a tour of inspection|مسافرت یاماموریت برای بازرسی
a tradition|مرسل
a trivial loss|زیان جزیی
a turn down coat|یایخه برگشته
a two miler|ادم یا اسب دو میل دو
a type merino|پشم مرینوس نوع A
a unit of wieght|مثقال
a upon others rights|تجاوزبه حقوق دیگران
a v tae|عرق
a valve of the heart|دریچه دل
a variety of|نوعی
a variety of other|نسخه دیگری
a verbal|اسمی که ازفعل مشتق شده باشد
a verdict of not guilty|رای حاکی از برایت
a versatile author|نویسنده ای که به اسانی موضوع خودراتغییردهدیا...میتواندبحث کند
a verse of the quran|ایه قرآن
a vertical plane|سطح قایم
a voidance contract|عقد جایز
a volley of oaths|سوگندهای پی درپی
a voluminous work|تالیف کتابی که مشتمل برچندین جلد باشد
a voluminouse writer|نویسنده کثیرالتالیف
a voracious appetite|حرص
a votary of science|طرفدار یا پیرو علم
a votre sante|فرانسه
a waft of peace and joy|احساس امنیت وخوشی که درشخص گریزنده پیدامیشود
a war burst out|خفگی سر گرفت
a warlike reply|پاسخی که بوی جنگجویی ازان میاید، پاسخی که بوی جنگجویی ازان می‌آید
a watched pot never boils|منبع
a weak|فعلی که گذشته و اسم مفعول ان به d یا پایان یابدچون
a week from monday|این دوشنبه نه دوشنبه دیگر
a well|چاه ارتیس
a wet town|شهر مشروب دار
a wheel goes round|چرخ دور میزند
a while|اندکی
a while ago|چندی قبل
a while later|مدتی بعد
a who|همه انانی که
a whole lot of nonsense|یک مشت مهمل
a whole number|عد دتام
a widow's mite|در مثل برگ سبزی است تحفه درویش
a wise|عقل کل
a wise man avoids edged tools|منبع
a with age|سال دیده
a with lie|دروغ مصلحت امیز
a withered arm|دست خشکیده شده
a witness|رساننده خبرشنیده
a wolf in sheep's clothing|گرگ در لباس میش
a woman|ثیب
a woman of virtue|زن عفیف
a word of 2 letters|کلمه دو حرفی
a world of art|کاریاعمل صنعتی
a world of faults|یک دنیاعیب یاتقصیر
a world of v construction|کلمه ای که به چندین شکل درمی اید
a world out of season|سخن نابهنگام
a would be gentleman|اقابعدازاین
a year bride|عروس یکساله
a year little 5 days less|بی بدون
a years|سالهای بعد
a yoke of oxen|یک جفت گاو
a youth of 20|یک جوان 1 2ساله
a-1 skyraider|هواپیمای ا
a-3 skywarrior|هواپیمای ا
a-4 skyhawk|هواپیمای ا
a-5 vigilant|هواپیمای ا
a-6 intruder|هواپیمای ا
a-at busy engaged|مشغول
a-at under|در حال
a-battery|باطری فیلامان
a-bomb|بمب اتمی
a-bomb atomic bomb nuclear bomb|بمب اتمی
a-bosom en-in inside into intra-intro-interior within|درون
a-destitute devoid less sans un-void wanting|فاقد
a-dis-in-less non-un|نا
a-display|ارایه
a-ex-in-less minus non-tight|بی
a-exterior forth out outside outwardly|بیرون
a-frame|خاموت
a-frame brace a-mast|جرثقیل دوپایه
a-helix|مارپیچ A
a-horizon|افق—
a-hour|ساعت تک
a-law|قانون a
a-line|لباسی که در بالا چسبان و در پایین گشاد است
a-linolenic acid|اسید a لینولنیک
a-marginal|حاشیه‌ای
a-n radio range|هدایت رادیویی ای
a-ok|خوب
a-priori|دلیل قبلی
a-proposition|منطق قضیه مبت عمومی
a-rocket|موشک اتمی
a-scan|ارایه
a-scope|صفحه وسیله اندازه گیری برد و اندازه هدف در صفحه رادار
a-weapon|سلاح اتمی
a-wind|پیچیدن کپی
a-wind b-wind|پیچش A
a-winding|فیلم پیچی A
aa|آآ
aa achievement age|سن پیشرفت
aa corporate bond interest rate|نرخ بهره اوراق قرضه شرکتهای معتبر
aa flow|جریان گدازه آآ
aa rated bond|اوراق قرضه معتبر
aaa|انمن اتومبیلرانی امریکا
aaa ameriacn accounting association|انجمن حسابداری حسابدارن آمریکا
aaa anti aircraft artillery|توپخانه پدآفند هوایی، توپخانه پدافند هوایی
aaai|انجمن امریکایی هوش مصنوعی انجمنی که در ارتباط با هوش مصنوعی پیشرفته فعالیت می‌کند
aaal|فرهنگستان هنر و ادبیات امریکا
aaas|انمن توسعهی علوم امریکا
aah|آخ و واخ
aal|رنگینه قرمز طبیعی که از ریشه گیاه مورینا تینکتوریا در هند شرقی به دست می‌آید
aalenian|زیر اشکوب باجوسین
aam|موشک هوا به هوا
aapg|انجمن زمین شناسان نفت آمریکا
aapl|انجمن آمریکایی مذاکره کننده‌ها ی راجع به زمین برای حفاری نفت
aar|در مقابل کلیه خطرات
aardvark|خوک خاکی
aardwolf|افریقا
aargh or aarrgh or aarrghh|صوت یا ندای حاکی از تنفر یا تهوع اه
aaron|هارون
aaronic|مورمن
aaronical|s هارونی
aaronical, aaronic al|هارونی
aaron's beard|گیاهی از خانواده هوفاریقون بنام
aaron's round, aaron's-round|بوصیر
aaron'sbeard|گیاهی ازخانواده هوفاریقون
aasho|آآشو اداره راهداران آمریکا
aashto road test|آزمون راه اشتو
aau|اتحادیهی ورزشکاران آماتور
aaup|انمن استادان دانشگاههای امریکا
ab|بیسبال تعداد ضربه
ab e haji formation|سازند آب حاجی لیاس
ab initio|از اول
ab initio gene prediction|پیشبینی ژن اب اینیتیو
ab intra|لاتین از درون
ab ovo|لاتین از تخم از آغاز از ابتدا
ab power pack|جعبه تغذیه ا.ب
ab rolling|حلقه بندی AB
ab test|آزمون ای بی
aba|عبا
abac|آباک
abac scale|پرگار قوس سنج
abaca|نوعی الیاف برگی گیاه_آباکا
abacaxi fibre|نام برزیلی لیف آناناس
abacinate|پست
abaciscus|قطعه مربع کاشی معرق‌
aback|پرت‌
aback astern back backward behind rearward rearwards|به سوی عقب
aback backward|به قهقرا
abaction|زدن
abacu|چرتکه
abacu, abacus|گنجه ظرف
abaculus|موزائیک کوچک، موزاییک کوچک
abacus|چتکه
abadan|آبادان
abaddon|انیل ابدون
abaft|عقب
abaka|لیف گیاهی آباکا
abakan|آباکان
abalienate|واگذاری‌
